answer,question
Wrong,MongoDB is a relational database management system.
Correct,MongoDB stores data in flexible JSON-like documents.
Correct,In MongoDB collections are equivalent to tables in relational databases.
Wrong,MongoDB requires a predefined schema for all documents.
Correct,The default primary key in MongoDB is named "_id".
Correct,MongoDB supports horizontal scaling through sharding.
Wrong,MongoDB uses SQL as its primary query language.
Correct,MongoDB supports geospatial indexing and queries.
Wrong,Transactions in MongoDB are always ACID compliant across multiple documents.
Correct,MongoDB allows for nested documents within a single document.
Wrong,Indexes in MongoDB can only be created on a single field.
Correct,MongoDB supports full-text search capabilities.
Wrong,MongoDB is only suitable for small-scale applications.
Correct,MongoDB uses BSON (Binary JSON) for data storage.
Wrong,MongoDB requires all fields to be present in every document of a collection.
Correct,The MongoDB aggregation framework allows for complex data processing.
Wrong,MongoDB does not support joins between collections.
Correct,MongoDB provides a TTL (Time-To-Live) index for automatic document expiration.
Wrong,MongoDB cannot handle unstructured data.
Correct,MongoDB supports real-time data changes through Change Streams.
Wrong,MongoDB does not allow for atomic operations on a single document.
Correct,MongoDB provides drivers for most popular programming languages.
Wrong,MongoDB requires all data to be loaded into RAM.
Correct,MongoDB supports role-based access control (RBAC).
Wrong,MongoDB does not support multi-document ACID transactions.
Correct,MongoDB allows for dynamic queries without predefined structures.
Wrong,Replica sets in MongoDB are only used for data backup.
Correct,MongoDB supports field-level encryption for enhanced security.
Wrong,MongoDB cannot handle more than 100 GB of data efficiently.
Correct,MongoDB allows for schema validation using JSON Schema.
Wrong,Indexing in MongoDB always slows down write operations.
Correct,MongoDB supports upsert operations (update or insert).
Wrong,MongoDB does not provide any tools for data migration.
Correct,MongoDB Compass is a GUI tool for interacting with MongoDB databases.
Wrong,MongoDB Atlas is an on-premises database solution.
Correct,MongoDB supports multi-document transactions since version 4.0.
Wrong,MongoDB does not allow for case-insensitive queries.
Correct,MongoDB can automatically balance data across shards.
Wrong,MongoDB does not support stored procedures.
Correct,MongoDB allows for creating capped collections with fixed sizes.
Wrong,MongoDB uses B-tree indexes exclusively.
Correct,MongoDB supports creating views on collections.
Wrong,MongoDB does not provide any tools for performance monitoring.
Correct,MongoDB allows for creating compound indexes on multiple fields.
Wrong,MongoDB cannot handle concurrent read and write operations.
Correct,MongoDB provides a $lookup operator for performing left outer joins.
Wrong,MongoDB does not support any form of data compression.
Correct,MongoDB allows for creating unique indexes to enforce data uniqueness.
Wrong,MongoDB requires manual sharding of data across multiple servers.
Correct,MongoDB supports creating partial indexes based on a filter expression.
Wrong,MongoDB does not provide any mechanism for data backup and restoration.
Correct,MongoDB allows for creating sparse indexes that only reference documents with the indexed field.
Wrong,MongoDB does not support any form of data aggregation.
Correct,MongoDB provides a $graphLookup operator for graph-like queries.
Wrong,MongoDB requires all data to be in memory for optimal performance.
Correct,MongoDB supports creating text indexes for full-text search capabilities.
Wrong,MongoDB does not allow for bulk write operations.
Correct,MongoDB provides a $merge stage in the aggregation pipeline for writing results back to a collection.
Wrong,MongoDB does not support any form of data encryption.
Correct,MongoDB allows for creating wildcard indexes to index on arbitrary fields.
Wrong,MongoDB requires manual configuration of replica sets.
Correct,MongoDB provides a $out stage in the aggregation pipeline for creating new collections.
Wrong,MongoDB does not support any form of data replication.
Correct,MongoDB allows for creating hashed indexes for more even data distribution in sharded clusters.
Wrong,MongoDB requires all queries to use indexes.
Correct,MongoDB provides a $facet stage in the aggregation pipeline for multi-faceted aggregations.
Wrong,MongoDB does not support any form of data versioning.
Correct,MongoDB allows for creating 2dsphere indexes for geospatial queries on spherical geometries.
Wrong,MongoDB requires manual configuration of sharding.
Correct,MongoDB provides a $lookup stage in the aggregation pipeline for performing left outer joins.
Wrong,MongoDB does not support any form of data partitioning.
Correct,MongoDB allows for creating text indexes with weights for prioritizing fields in text searches.
Wrong,MongoDB requires all data to be structured in a specific format.
Correct,MongoDB provides a $bucket stage in the aggregation pipeline for grouping documents into buckets.
Wrong,MongoDB does not support any form of data caching.
Correct,MongoDB allows for creating compound text indexes on multiple fields.
Wrong,MongoDB requires manual configuration of load balancing.
Correct,MongoDB provides a $unionWith stage in the aggregation pipeline for combining data from multiple collections.
Wrong,MongoDB does not support any form of data compression.
Correct,MongoDB allows for creating unique compound indexes to enforce uniqueness across multiple fields.
Wrong,MongoDB requires all indexes to be created manually.
Correct,MongoDB provides a $setWindowFields stage in the aggregation pipeline for window operations.
Wrong,MongoDB does not support any form of data auditing.
Correct,MongoDB allows for creating partial unique indexes.
Wrong,MongoDB requires manual configuration of data backups.
Correct,MongoDB provides a $redact stage in the aggregation pipeline for controlling document content based on information stored in the documents themselves.
Wrong,MongoDB does not support any form of data masking.
Correct,MongoDB allows for creating covered queries where all query criteria and projected fields are part of an index.
Wrong,MongoDB requires all data to be in a single collection for efficient querying.
Correct,MongoDB provides a $lookup stage with uncorrelated subqueries in the aggregation pipeline.
Wrong,MongoDB does not support any form of data sampling.
Correct,MongoDB allows for creating hidden indexes that are not used by the query planner.
Wrong,MongoDB requires manual configuration of data recovery.
Correct,MongoDB provides a $documents stage in the aggregation pipeline for inserting documents into the pipeline.
Wrong,MongoDB does not support any form of data encryption at rest.
Correct,MongoDB allows for creating case-insensitive indexes.
Correct,MongoDB supports multi-document ACID transactions in replica sets.
Wrong,MongoDB uses a fixed schema for all collections.
Correct,The MongoDB query language is based on JavaScript.
Wrong,MongoDB cannot handle more than 1 million documents per collection.
Correct,MongoDB supports the creation of TTL (Time-To-Live) indexes.
Wrong,Sharding in MongoDB requires manual data distribution.
Correct,MongoDB allows for dynamic schema changes without downtime.
Wrong,MongoDB does not support full-text search capabilities.
Correct,MongoDB provides a $graphLookup stage for graph-like queries in the aggregation pipeline.
Wrong,Indexes in MongoDB are always updated synchronously.
Correct,MongoDB supports creating views with computed fields.
Wrong,MongoDB requires all data to be in RAM for querying.
Correct,The MongoDB aggregation framework supports windowing operations.
Wrong,MongoDB does not allow for atomic updates on embedded documents.
Correct,MongoDB provides a change streams feature for real-time data changes.
Wrong,MongoDB uses a single-threaded processing model.
Correct,MongoDB supports the creation of partial indexes.
Wrong,All MongoDB queries require an index to be efficient.
Correct,MongoDB allows for the creation of collections with document validation rules.
Wrong,MongoDB does not support any form of server-side scripting.
Correct,MongoDB provides a $lookup stage for performing left outer joins in the aggregation pipeline.
Wrong,MongoDB requires manual configuration of write concern levels.
Correct,MongoDB supports the creation of compound indexes on multiple fields.
Wrong,MongoDB does not allow for case-insensitive queries.
Correct,MongoDB provides a $merge stage for writing aggregation results back to a collection.
Wrong,MongoDB requires all documents in a collection to have the same fields.
Correct,MongoDB supports the creation of text indexes for full-text search.
Wrong,MongoDB does not provide any mechanism for data compression.
Correct,MongoDB allows for the creation of unique indexes to enforce data uniqueness.
Wrong,MongoDB requires manual sharding key selection.
Correct,MongoDB supports the creation of 2dsphere indexes for geospatial queries.
Wrong,MongoDB does not allow for bulk write operations.
Correct,MongoDB provides a $facet stage for multi-faceted aggregations in the pipeline.
Wrong,MongoDB requires manual configuration of connection pooling.
Correct,MongoDB supports the creation of hashed indexes for more even data distribution.
Wrong,MongoDB does not provide any tools for performance monitoring.
Correct,MongoDB allows for the creation of sparse indexes that only reference documents with the indexed field.
Wrong,MongoDB requires manual configuration of read preferences.
Correct,MongoDB provides a $bucket stage for grouping documents into buckets in the aggregation pipeline.
Wrong,MongoDB does not support any form of data encryption at rest.
Correct,MongoDB allows for the creation of wildcard indexes to index on arbitrary fields.
Wrong,MongoDB requires manual configuration of authentication mechanisms.
Correct,MongoDB provides a $unionWith stage for combining data from multiple collections in the aggregation pipeline.
Wrong,MongoDB does not support any form of data auditing.
Correct,MongoDB allows for the creation of covered queries where all query criteria and projected fields are part of an index.
Wrong,MongoDB requires manual configuration of network compression.
Correct,MongoDB provides a $redact stage for controlling document content based on information stored in the documents themselves.
Wrong,MongoDB does not support any form of data masking.
Correct,MongoDB allows for the creation of hidden indexes that are not used by the query planner.
Wrong,MongoDB requires manual configuration of SSL/TLS settings.
Correct,MongoDB provides a $documents stage for inserting documents into the aggregation pipeline.
Wrong,MongoDB does not support any form of data sampling.
Correct,MongoDB allows for the creation of case-insensitive indexes.
Wrong,MongoDB requires manual configuration of oplog size.
Correct,MongoDB provides a $setWindowFields stage for window operations in the aggregation pipeline.
Wrong,MongoDB does not support any form of data versioning.
Correct,MongoDB allows for the creation of partial unique indexes.
Wrong,MongoDB requires manual configuration of index builds.
Correct,MongoDB provides a $densify stage for filling in missing data points in the aggregation pipeline.
Wrong,MongoDB does not support any form of data partitioning.
Correct,MongoDB allows for the creation of compound text indexes on multiple fields.
Wrong,MongoDB requires manual configuration of cursor timeout.
Correct,MongoDB provides a $fill stage for filling in missing data in the aggregation pipeline.
Wrong,MongoDB does not support any form of data caching.
Correct,MongoDB allows for the creation of unique compound indexes to enforce uniqueness across multiple fields.
Wrong,MongoDB requires manual configuration of query plans.
Correct,MongoDB provides a $search stage for Atlas Search in the aggregation pipeline.
Wrong,MongoDB does not support any form of data compression.
Correct,MongoDB allows for the creation of index intersection.
Wrong,MongoDB requires manual configuration of write acknowledgments.
Correct,MongoDB provides a $vectorSearch stage for vector search in the aggregation pipeline.
Wrong,MongoDB does not support any form of data encryption in transit.
Correct,MongoDB allows for the creation of collation-based indexes.
Wrong,MongoDB requires manual configuration of read concern levels.
